,,RowID,Original_SMILES,DFT_opt_Charge_P,Origin,selfies,QED,SA_score
0,165,225,CC1CCC1,0.478805,Initial,[C][C][C][C][C][Ring1][Ring2],0.5890922942764261,4.402734680111864
1,166,226,CC1=CCCC1,0.475874,Initial,[C][C][=C][C][C][C][Ring1][Branch1],0.4796469931397338,4.488444089516497
2,168,228,CCC1CC1=C,0.484264,Initial,[C][C][C][C][C][Ring1][Ring1][=C],0.48987154629878793,4.93662976590907
3,171,231,CC1CC1(C),0.481283,Initial,[C][C][C][C][Ring1][Ring1][C],0.5890922942764261,4.702994739283461
4,172,232,CC1C2CC12,0.481257,Initial,[C][C][C][C][C][Ring1][Ring2][Ring1][Ring1],0.5845605327828264,5.143625988063847
5,173,233,CCC=C1CC1,0.478129,Initial,[C][C][C][=C][C][C][Ring1][Ring1],0.49021913734875777,5.000804301718087
6,177,238,CCC=C(C)C=C,0.484643,Initial,[C][C][C][=C][Branch1][C][C][C][=C],0.38563527421047455,4.420709148456229
7,178,239,CC12CC1CCC2,0.477781,Initial,[C][C][C][C][Ring1][Ring1][C][C][C][Ring1][=Branch1],0.6284386355547686,4.7474457020269405
8,180,241,CC1(CC1C=C),0.479232,Initial,[C][C][C][C][Ring1][Ring1][C][=C],0.4902418799096937,5.101887796817266
9,185,248,CC1CC(C=C1),0.472728,Initial,[C][C][C][C][C][=C][Ring1][Branch1],0.4796692452309683,4.8690139051916494
10,187,250,CC12CC1CC2,0.478986,Initial,[C][C][C][C][Ring1][Ring1][C][C][Ring1][Branch1],0.6072399204672873,4.998618220285033
11,188,251,CCCC1(C)CC1,0.481246,Initial,[C][C][C][C][Branch1][C][C][C][C][Ring1][Ring2],0.6410759728125347,4.772746710690724
12,189,252,CC(C)C(C)=C,0.483725,Initial,[C][C][Branch1][C][C][C][Branch1][C][C][=C],0.4913338006205346,4.333257253370435
13,191,256,CC1CCCC(C1),0.475397,Initial,[C][C][C][C][C][C][C][Ring1][=Branch1],0.6296928136391596,3.9769452994004
14,192,257,CC12CC1C2,0.475044,Initial,[C][C][C][C][Ring1][Ring1][C][Ring1][Ring2],0.5845605327828264,4.983392757294615
15,195,260,CC1C2CC2CC1,0.47916,Initial,[C][C][C][C][C][Ring1][Ring1][C][C][Ring1][=Branch1],0.6285930966187423,4.898974542708268
16,197,262,CCCCC1CC1,0.4841,Initial,[C][C][C][C][C][C][C][Ring1][Ring1],0.6269256084649782,4.300741934015785
17,199,264,CC=C1CCC1,0.479044,Initial,[C][C][=C][C][C][C][Ring1][Ring2],0.4796469931397338,4.683588917102705
18,200,265,CC=CC1CC1,0.480179,Initial,[C][C][=C][C][C][C][Ring1][Ring1],0.4902418799096937,5.031367220841518
19,204,269,CCC1C2CC21,0.482782,Initial,[C][C][C][C][C][C][Ring1][Ring1][Ring1][Ring2],0.6206244055166622,5.265595939117924
20,207,272,CC1CCC(C=C1),0.473219,Initial,[C][C][C][C][C][C][=C][Ring1][=Branch1],0.4958509385851914,4.723252991708093
21,211,277,CCCC1CC1=C,0.488773,Initial,[C][C][C][C][C][C][Ring1][Ring1][=C],0.5029489379541592,4.731840221788908
22,212,278,CC1(C)CCC1,0.476045,Initial,[C][C][Branch1][C][C][C][C][C][Ring1][Branch1],0.610373339816821,4.338184161513465
23,213,279,CC1C2CCC12,0.481867,Initial,[C][C][C][C][C][C][Ring1][Branch1][Ring1][Ring2],0.6072399204672873,5.12506702665108
24,216,282,CC1C2CCC2CC1,0.476543,Initial,[C][C][C][C][C][C][Ring1][Ring2][C][C][Ring1][#Branch1],0.6481477080335912,4.6853797230674985
25,218,285,CC=CC1CCC1,0.479223,Initial,[C][C][=C][C][C][C][C][Ring1][Ring2],0.5067802422269957,4.816827030169632
26,220,287,CC1CC21CC2,0.483597,Initial,[C][C][C][C][Ring1][Ring1][C][C][Ring1][Ring1],0.6072399204672873,5.573488797835691
27,221,288,CC1CC2CC12,0.483065,Initial,[C][C][C][C][C][C][Ring1][Branch1][Ring1][Ring1],0.6072399204672873,5.389939175192194
28,222,289,CCC1CC1(C),0.475464,Initial,[C][C][C][C][C][Ring1][Ring1][C],0.6238268901615159,4.851816368245837
29,223,290,CC1C2C1CC2,0.479064,Initial,[C][C][C][C][Ring1][Ring1][C][C][Ring1][Ring2],0.6068343258549794,5.129653261231612
30,225,292,CC=CCC1CC1,0.479035,Initial,[C][C][=C][C][C][C][C][Ring1][Ring1],0.5048145952093833,4.859148664785016
31,230,297,CC1C2CC1C2,0.478105,Initial,[C][C][C][C][C][Ring1][Ring2][C][Ring1][Ring2],0.6068343258549794,5.375749644011523
32,231,298,CCCC=C1CC1,0.478034,Initial,[C][C][C][C][=C][C][C][Ring1][Ring1],0.5042354430833763,4.712282529481216
33,232,299,CC1=CC=CCCC1,0.475223,Initial,[C][C][=C][C][=C][C][C][C][Ring1][#Branch1],0.643604403877008,4.3494225862140725
