,RowID,Molecule name,Original_SMILES,Number of connected components,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,Salt_Solvent,Salt_Solvent_ID,MACE_opt_Charge_P,DFT_opt_Charge_P,SMILES_Charge_P
0,1,Molecule_1,OP(=O)(F)CC1CC1,1,OP(=O)(F)CC1CC1,InChI=1S/C4H8FO2P/c5-8(67)3-4-1-2-4/h4H1-3H2(H67),ISTSYGJGFHXWEP-UHFFFAOYSA-N,,0,0.477392,0.477884,0.495007
1,2,Molecule_2,C=CC=CP(O)(=O)F,1,C=CC=CP(O)(=O)F,InChI=1S/C4H6FO2P/c1-2-3-4-8(56)7/h2-4H1H2(H67),MTEZWQFYJSPWFL-UHFFFAOYSA-N,,0,0.466374,0.468175,0.488871
2,3,Molecule_3,CCCCP(O)(=O)F,1,CCCCP(O)(=O)F,InChI=1S/C4H10FO2P/c1-2-3-4-8(56)7/h2-4H21H3(H67),APYFAHGEGYQQKV-UHFFFAOYSA-N,,0,0.4785,0.479187,0.497424
3,4,Molecule_4,CC(=C)P(O)(=O)F,1,CC(=C)P(O)(=O)F,InChI=1S/C3H6FO2P/c1-3(2)7(45)6/h1H22H3(H56),MCXJDWWZTRAPNJ-UHFFFAOYSA-N,,0,0.47171,0.472099,0.493289
4,5,Molecule_5,OP(=O)(F)C1CCC1,1,OP(=O)(F)C1CCC1,InChI=1S/C4H8FO2P/c5-8(67)4-2-1-3-4/h4H1-3H2(H67),NVEBMHVYFIZZNB-UHFFFAOYSA-N,,0,0.472379,0.472121,0.487905
7,8,Molecule_8,CC1CC1P(O)(=O)F,1,CC1CC1P(O)(=O)F,InChI=1S/C4H8FO2P/c1-3-2-4(3)8(56)7/h3-4H2H21H3(H67),OLJBKYHRSJDATD-UHFFFAOYSA-N,,0,0.474309,0.473826,0.485027
8,9,Molecule_9,C=CCP(O)(=O)F,1,C=CCP(O)(=O)F,InChI=1S/C3H6FO2P/c1-2-3-7(45)6/h2H13H2(H56),UKIWLVJHBCGSGS-UHFFFAOYSA-N,,0,0.478686,0.479021,0.501173
9,11,Molecule_11,C=CCCCP(O)(=O)F,1,C=CCCCP(O)(=O)F,InChI=1S/C5H10FO2P/c1-2-3-4-5-9(67)8/h2H13-5H2(H78),UIVRGTNNPFGBHY-UHFFFAOYSA-N,,0,0.478493,0.480769,0.491335
10,12,Molecule_12,OP(=O)(F)C1C=C1,1,OP(=O)(F)C1C=C1,InChI=1S/C3H4FO2P/c4-7(56)3-1-2-3/h1-3H(H56),FJGLRTIGZQIDDP-UHFFFAOYSA-N,,0,0.458675,0.459794,0.476233
11,13,Molecule_13,OP(=O)(F)C1CC=1,1,OP(=O)(F)C1CC=1,InChI=1S/C3H4FO2P/c4-7(56)3-1-2-3/h1H2H2(H56),CYEBGOFYXUVHKM-UHFFFAOYSA-N,,0,0.484948,0.48345,0.502705
12,14,Molecule_14,CC=CP(O)(=O)F,1,CC=CP(O)(=O)F,InChI=1S/C3H6FO2P/c1-2-3-7(45)6/h2-3H1H3(H56),PYKNLPVJKFSYJI-UHFFFAOYSA-N,,0,0.467625,0.468618,0.481485
13,15,Molecule_15,OP(=O)(F)C1CC1,1,OP(=O)(F)C1CC1,InChI=1S/C3H6FO2P/c4-7(56)3-1-2-3/h3H1-2H2(H56),GPMVMRFPYXDZRO-UHFFFAOYSA-N,,0,0.475341,0.476673,0.485027
